"0"," Donald Trump's Reinstated Twitter Sparks Big Unanswered Question","Joanna Mazewski","Donald Trump is officially back on Twitter and let's just say that social media certainly has some strong words about it. Elon Musk was the first to make the announcement when he tweeted The people have spoken. Trump will be reinstated while also adding the Latin term Vox Populi Vox Dei which translates to The voice of the people (is) the voice of God. This all came after Musk conducted a poll in which the majority of Twitter users agreed the former president's account should be brought back to life after it was banned in January of 2021 following the storm of the Capitol Building by insurrectionists.","2022-11-20","07:15:00","msn.com"
"1"," Former Trump CFO Allen Weisselberg testifies that he got raise after Trump children discovered tax scheme","Misty Severi","When Eric and Donald Trump Jr. discovered that former Trump Organization Chief Financial Officer Allen Weisselberg was cheating on his taxes he was not disciplined Weisselberg testified Friday. In fact Eric Trump approved a $200000 raise for Weisselberg after he claimed he was no longer participating in the illegal activity and needed more money to make up for it the former Trump executive testified during his third and final day of testimony in the Trump Organization criminal trial in New York City.","2022-11-19","01:30:00","msn.com"
"2"," Donald Trump Returns to Twitter Nearly 2 Years After Getting Banned Following Elon Musk Poll","RELATED:","Provided by People  James Devaney/GC Images Donald Trump Former President Donald Trump made his return to Twitter Saturday night nearly two years after being permanently suspended by the platform following a violent riot at the U.S. Capitol in which his supporters stormed the building as lawmakers counted the Electoral College votes certifying President-elect Joe Biden's November election win. Twitter CEO Elon Musk said Trump's account would be reinstated following a Twitter poll he initiated.","2022-11-20","03:00:00","msn.com"
"3"," Trump's Economic Record May Be Enough To Beat Biden","Philip van Scheltinga","When Donald Trump announced his 2024 campaign for the presidency on Tuesday night he had one simple question for voters: do you remember what the economy was like when I was President? Friday Nightcap: A political whirlwind DOJ names special counsel in Trump probes Experts lay out Trump's possible crimes in Georgia election probe Lawrence: Trump will lose more sleep because of DOJ special prosecutor George Conway reacts to special counsel appointment Twitter employees receive ultimatum from CEO Elon Musk Joy Reid: Musk facilitated return of fascist trolls to 'fix' Twitter in name of 'free speech' Examining the future of social media amid Twitter's upheaval Legal expert: Mar-a-Lago docs possession is open and shut case that doesn't need special counsel Biden turns 80 as he weighs reelection bid Trump claims special counsel investigation will 'not be fair' Clyburn: ˜Foolishness' of GOP agenda will send them ˜deep in the minority' Rep.","2022-11-19","10:45:00","msn.com"
"4"," Elon Musk says he will reinstate Twitter account of former President Donald Trump after online poll","Lora Kolodny","New Twitter owner and CEO Elon Musk announced that he will reinstate the Twitter account of former President Donald Trump on Saturday. Load Error Musk ran a straw poll on the social media platform starting late Friday asking his followers to vote on whether to reinstate former U.S. President Donald Trump's account on the platform. The poll ran for twenty four hours. At its conclusion Musk wrote in a tweet The people have spoken. Trump will be reinstated. Vox Populi Vox Dei. The latter phrase means the voice of the people is the voice of god.","2022-11-20","02:00:00","msn.com"
"5"," Like a little elementary school child: Trump dumped by spiritual adviser as evangelicals turn","Crash Course.","Provided by Salon  Donald Trump Local religious leaders pray alongside President Donald Trump at the King Jesus International Ministry during an Evangelicals for Trump rally in Miami FL on Friday Jan. 3 2020. Scott McIntyre/For The Washington Post via Getty Images Load Error Key evangelical figures who once backed former President Donald Trump withdrew their support after he announced his third White House bid on Tuesday. One televangelist who served as a spiritual adviser to the former president and once said he was a supernatural answer to prayer changed his tune telling supporters that Trump acts like a little elementary schoolchild and that his juvenile focus on minor issues was stopping him from achieving larger goals.","2022-11-18","17:30:00","msn.com"
"6"," Donald Trump reacts after Elon Musk reinstates his Twitter account","Lawrence Richard","Donald Trump has been officially reinstated to Twitter but on Saturday afternoon the former president cast doubt that he would return to the platform.Trump posted on Truth Social a social media service he has used since receiving a lifetime ban on Twitter in January 2021 that he would not be switching back over.Vote now with positivity but don't worry we aren't going anywhere. Truth Social is special! he posted. Many on the left are sounding the alarm about Elon Musk's Twitter takeover.  (FOX)Twitter CEO Elon Musk formally reinstated Trump this weekend after conducting a poll on the platform that received more than 15 million votes.","2022-11-20","04:48:19","foxnews.com"
"7"," Will Donald Trump tweet again? Elon Musk reinstates Donald Trump on Twitter","USA TODAY","After a nearly two-year absence former President Donald Trump is able to reclaim his Twitter account ” though it's unclear whether he'll be back. Biden's granddaughter holds wedding at White House Musk to restore Trump to Twitter after online poll Elon Musk reinstates Trump's Twitter account DACA advocates pressure Democrats in Congress to pass DACA legislation Rhode Island representative will invoke the 14th amendment to bar Donald Trump from running for president Investigators baffled in myste","2022-11-20","05:00:00","msn.com"
"8"," Trump administration denied government websites for homelessness and fraud: Report","Jack Birle","Former President Donald Trump's administration reportedly blocked various government websites from being made on topics ranging from homelessness to human trafficking. Records of .gov website rejections and approvals by the Trump administration and President Joe Biden's administration were obtained by Insider through a Freedom of Information Act request. BIDEN'S 80TH BIRTHDAY RAISES QUESTIONS ABOUT 2024 POLITICAL VIABILITY Load Error Websites rejected by the Trump administration included humantrafficking.","2022-11-20","18:30:00","msn.com"
"9"," Former Trump lawyer accuses Ivanka and Kushner of being 'FBI moles' after they bail on 2024 run","ALSO IN THE NEWS:","During an appearance on MSNBC's Katie Phang Show on Saturday morning former Donald Trump lawyer Michael Cohen suggested that the reason that Donald Trump's daughter Ivanka and her husband Jared Kusher are staying away from the former president's 2024 presidential run is because they are compromised. Speaking with the host Cohen said the couple got pretty much everything they wanted during the Trump presidency in the way of cashing in and there is no reason why they would want to face more scrutiny for their actions while serving in the White House.","2022-11-19","15:00:00","msn.com"
"10"," Elon Musk says 'Hey stop defaming me' after coming under fire for letting Donald Trump back on Twitter","  ","Elon Musk is coming under fire for his decision to lift the ban on Donald Trump's Twitter account telling one tweeter: Hey stop defaming me! His comment to Jonathan Greenblatt the CEO of the Anti-Defamation League came after he criticized Musk's decision in a series of tweets. For @elonmusk to allow Donald Trump back on Twitter ostensibly after a brief poll shows he is not remotely serious about safeguarding the platform from hate harassment and misinformation. Multiple actors have said their Twitter accounts were suspended after they changed their names to Elon Musk and impersonated him.","2022-11-20","14:15:00","msn.com"
