source,target,weight
msn.com,msn.com,1
msn.com,msn.com,1
msn.com,msn.com,1
msn.com,msn.com,1
msn.com,msn.com,1
msn.com,msn.com,1
apnews.com,msn.com,1
startribune.com,washingtonpost.com,1
msn.com,msn.com,0.964035673
msn.com,pbs.org,0.925101952
apnews.com,washingtonpost.com,0.922326644
msn.com,washingtonpost.com,0.922326644
msn.com,msn.com,0.9087135
msn.com,msn.com,0.889947728
msn.com,msn.com,0.875474362
washingtonpost.com,msn.com,0.843781971
apnews.com,pbs.org,0.832108079
pbs.org,msn.com,0.832108079
msn.com,msn.com,0.806109503
washingtonpost.com,pbs.org,0.795713159
cnn.com,cnn.com,0.790648062
foxnews.com,foxnews.com,0.786710116
msn.com,msn.com,0.751441496
msn.com,msn.com,0.727053928
